419;Океан Ельзи;Альтернатива, Инди;Жанр
420;Пилот;Альтернатива, Инди;Жанр
421;Смысловые Галлюцинации;Альтернатива, Инди;Жанр
422;Сплин;Альтернатива, Инди;Жанр
423;Танцы Минус;Альтернатива, Инди;Жанр
424;Чичерина;Альтернатива, Инди;Жанр
425;55x55;\N;Блогеры
426;Enjoykin;\N;Блогеры
427;LayedBak;\N;Блогеры
428;PewDiePie;\N;Блогеры
429;Satyr;\N;Блогеры
430;SOBOLEV;\N;Блогеры
431;Utopia Show;\N;Блогеры
432;ЛАРИН;\N;Блогеры
433;МС ХОВАНСКИЙ;\N;Блогеры
434;Сибирский;\N;Блогеры
435;B.B. King;Блюз;Жанр
436;Etta James;Блюз;Жанр
437;John Lee Hooker;Блюз;Жанр
438;Lead Belly;Блюз;Жанр
439;Ma Rainey;Блюз;Жанр
440;Muddy Waters;Блюз;Жанр
441;Ариэль;ВИА;Жанр
442;Верасы;ВИА;Жанр
443;Весёлые ребята;ВИА;Жанр
444;Добры Молодцы;ВИА;Жанр
445;Земляне;ВИА;Жанр
446;Лейся, песня;ВИА;Жанр
447;Песняры;ВИА;Жанр
448;Пламя;ВИА;Жанр
449;Поющие гитары;ВИА;Жанр
450;Самоцветы;ВИА;Жанр
451;Синяя птица;ВИА;Жанр
452;Boyz II Men;Вокальная музыка;Жанр
453;Harold Melvin & The Blue Notes;Вокальная музыка;Жанр
454;Solomon Linda's Original Evening Birds;Вокальная музыка;Жанр
455;The Chi-Lites;Вокальная музыка;Жанр
456;The Chordettes;Вокальная музыка;Жанр
457;The Delfonics;Вокальная музыка;Жанр
458;The Drifters;Вокальная музыка;Жанр
459;The Five Satins;Вокальная музыка;Жанр
460;The Impressions;Вокальная музыка;Жанр
461;The Manhattans;Вокальная музыка;Жанр
462;The Temptations;Вокальная музыка;Жанр
463;The Tokens;Вокальная музыка;Жанр
464;The Top Notes;Вокальная музыка;Жанр
465;Billie Holiday;Джаз;Жанр
466;Bing Crosby;Джаз;Жанр
467;Bobby McFerrin;Джаз;Жанр
468;Dean Martin;Джаз;Жанр
469;Ella Fitzgerald;Джаз;Жанр
470;Frank Sinatra;Джаз;Жанр
471;Glenn Miller & His Orchestra;Джаз;Жанр
472;Julie London;Джаз;Жанр
473;Louis Armstrong;Джаз;Жанр
474;Marilyn Monroe;Джаз;Жанр
475;Michael Bublé;Джаз;Жанр
476;Nat King Cole;Джаз;Жанр
477;Perry Como;Джаз;Жанр
478;Renato Carosone;Джаз;Жанр
479;Sammy Davis Jr.;Джаз;Жанр
480;Scatman John;Джаз;Жанр
481;2CELLOS;\N;Каверы
482;David Garrett;\N;Каверы
483;Richard Cheese;\N;Каверы
484;Billy Ray Cyrus;Кантри;Жанр
485;Blake Shelton;Кантри;Жанр
486;Bobby Helms;Кантри;Жанр
487;Brooks & Dunn;Кантри;Жанр
488;Carrie Underwood;Кантри;Жанр
489;Chris Stapleton;Кантри;Жанр
490;Dan + Shay;Кантри;Жанр
491;David Allan Coe;Кантри;Жанр
492;Dolly Parton;Кантри;Жанр
493;Easton Corbin;Кантри;Жанр
494;Elle King;Кантри;Жанр
495;Eric Church;Кантри;Жанр
496;Florida Georgia Line;Кантри;Жанр
497;Garth Brooks;Кантри;Жанр
498;HA-ASH;Кантри;Жанр
499;Hank Williams;Кантри;Жанр
500;Hootie & The Blowfish;Кантри;Жанр
501;Jimmie Davis;Кантри;Жанр
502;John Denver;Кантри;Жанр
503;Johnny Cash;Кантри;Жанр
504;Josh Abbott Band;Кантри;Жанр
505;Keith Urban;Кантри;Жанр
506;Kenny Chesney;Кантри;Жанр
507;Kenny Rogers;Кантри;Жанр
508;Lady Antebellum;Кантри;Жанр
509;Little Big Town;Кантри;Жанр
510;Luke Bryan;Кантри;Жанр
511;Luke Combs;Кантри;Жанр
512;Michel Teló;Кантри;Жанр
513;Old Crow Medicine Show;Кантри;Жанр
514;Shania Twain;Кантри;Жанр
515;Tennessee Ernie Ford;Кантри;Жанр
516;The Everly Brothers;Кантри;Жанр
517;The McCain Brothers;Кантри;Жанр
518;Thomas Rhett;Кантри;Жанр
519;Tim McGraw;Кантри;Жанр
520;Walker Hayes;Кантри;Жанр
521;Mike Oldfield;\N;Композиторы
522;Vangelis;\N;Композиторы
523;Василий Агапкин;\N;Композиторы
524;Dick Dale;Легкая, Инструментальная музыка;Жанр
525;Enigma;Легкая, Инструментальная музыка;Жанр
526;Enya;Легкая, Инструментальная музыка;Жанр
527;Era;Легкая, Инструментальная музыка;Жанр
528;Gregorian;Легкая, Инструментальная музыка;Жанр
529;Joe Satriani;Легкая, Инструментальная музыка;Жанр
530;Lindsey Stirling;Легкая, Инструментальная музыка;Жанр
531;Space;Легкая, Инструментальная музыка;Жанр
532;The Tornadoes;Легкая, Инструментальная музыка;Жанр
533;The Tornados;Легкая, Инструментальная музыка;Жанр
534;ДиДюЛя;Легкая, Инструментальная музыка;Жанр
535;10 Years;Метал, Ню-метал, Металкор;Жанр
536;3TEETH;Метал, Ню-метал, Металкор;Жанр
537;Accept;Метал, Ню-метал, Металкор;Жанр
538;Alestorm;Метал, Ню-метал, Металкор;Жанр
539;Alice Cooper;Метал, Ню-метал, Металкор;Жанр
540;Alien Ant Farm;Метал, Ню-метал, Металкор;Жанр
541;All That Remains;Метал, Ню-метал, Металкор;Жанр
542;Amaranthe;Метал, Ню-метал, Металкор;Жанр
543;[Amatory];Метал, Ню-метал, Металкор;Жанр
544;Amon Amarth;Метал, Ню-метал, Металкор;Жанр
545;Anthrax;Метал, Ню-метал, Металкор;Жанр
546;Apocalyptica;Метал, Ню-метал, Металкор;Жанр
547;Arch Enemy;Метал, Ню-метал, Металкор;Жанр
548;Architects;Метал, Ню-метал, Металкор;Жанр
549;As I Lay Dying;Метал, Ню-метал, Металкор;Жанр
550;Asking Alexandria;Метал, Ню-метал, Металкор;Жанр
551;Attila;Метал, Ню-метал, Металкор;Жанр
552;August Burns Red;Метал, Ню-метал, Металкор;Жанр
553;Avenged Sevenfold;Метал, Ню-метал, Металкор;Жанр
554;Babymetal;Метал, Ню-метал, Металкор;Жанр
555;Bad Omens;Метал, Ню-метал, Металкор;Жанр
